actual_max_capacity_Ah,avg_speed_kmh,vehicle_name,nominal_capacity_Ah,id,timestamp_s,regenerative_braking_Ah,mileage_km,motor_rpm,car_id,id_segment,accelerator_pedal_pct,min_single_volt_V,max_temp_C,volt_V,label,brake_pedal_pct,payload_kg,charger_connected,soc_pct,min_temp_C,hvac_active,car_model,gear_position,current_A,max_single_volt_V
195.42,5.0,EV_105,210.0,DR776635,540,0.01,117669.87,375.0,EV_105,DR776635_1,0.0,4.06,33.47,404.2,0.0,75.0,90.59,0,84.74,31.79,1,SimuProA-5,D,12.0,4.08
195.42,22.0,EV_105,210.0,DR776635,550,0.0,117669.93,1650.0,EV_105,DR776635_1,42.0,4.07,33.48,403.9,0.0,0.0,90.59,0,84.73,31.8,1,SimuProA-5,D,60.0,4.09
195.42,38.0,EV_105,210.0,DR776635,560,0.0,117670.03,2850.0,EV_105,DR776635_1,55.0,4.06,33.52,400.5,0.0,0.0,90.59,0,84.71,31.83,1,SimuProA-5,D,95.0,4.08
195.42,42.0,EV_105,210.0,DR776635,570,0.0,117670.15,3150.0,EV_105,DR776635_1,52.0,4.06,33.55,401.2,0.0,0.0,90.59,0,84.69,31.85,1,SimuProA-5,D,85.0,4.08
195.42,48.0,EV_105,210.0,DR776635,580,0.0,117670.28,3600.0,EV_105,DR776635_1,58.0,4.05,33.59,398.5,0.0,0.0,90.59,0,84.67,31.88,1,SimuProA-5,D,110.0,4.08
195.42,45.0,EV_105,210.0,DR776635,590,0.0,117670.41,3375.0,EV_105,DR776635_1,48.0,4.07,33.62,402.8,0.0,0.0,90.59,0,84.67,31.9,1,SimuProA-5,D,75.0,4.09
195.42,52.0,EV_105,210.0,DR776635,600,0.0,117670.55,3900.0,EV_105,DR776635_1,65.0,4.05,33.65,397.2,0.0,0.0,90.59,0,84.64,31.92,1,SimuProA-5,D,125.0,4.08
195.42,42.0,EV_105,210.0,DR776635,610,0.008,117670.67,3150.0,EV_105,DR776635_1,0.0,4.07,33.68,403.5,0.0,55.0,90.59,0,84.65,31.94,1,SimuProA-5,D,-28.0,4.09
195.42,44.0,EV_105,210.0,DR776635,620,0.0,117670.79,3300.0,EV_105,DR776635_1,45.0,4.06,33.7,399.8,0.0,0.0,90.59,0,84.65,31.95,1,SimuProA-5,D,65.0,4.08
195.42,55.0,EV_105,210.0,DR776635,630,0.0,117670.94,4125.0,EV_105,DR776635_1,72.0,4.06,33.74,395.2,0.0,0.0,90.59,0,84.63,31.97,1,SimuProA-5,D,145.0,4.09
195.42,48.0,EV_105,210.0,DR776635,640,0.0,117671.08,3600.0,EV_105,DR776635_1,40.0,4.06,33.77,401.2,0.0,0.0,90.59,0,84.61,31.99,1,SimuProA-5,D,55.0,4.08
195.42,45.0,EV_105,210.0,DR776635,650,0.0,117671.2,3375.0,EV_105,DR776635_1,50.0,4.06,33.82,398.5,0.0,0.0,90.59,0,84.59,32.01,1,SimuProA-5,D,85.0,4.09
195.42,50.0,EV_105,210.0,DR776635,660,0.0,117671.34,3750.0,EV_105,DR776635_1,55.0,4.06,33.86,396.1,0.0,0.0,90.59,0,84.56,32.03,1,SimuProA-5,D,95.0,4.09
195.42,42.0,EV_105,210.0,DR776635,670,0.0,117671.46,3150.0,EV_105,DR776635_1,30.0,4.05,33.89,400.5,0.0,0.0,90.59,0,84.54,32.05,1,SimuProA-5,D,35.0,4.07
195.42,46.0,EV_105,210.0,DR776635,680,0.0,117671.59,3450.0,EV_105,DR776635_1,60.0,4.05,33.92,393.8,0.0,0.0,90.59,0,84.53,32.07,1,SimuProA-5,D,110.0,4.08
195.42,44.0,EV_105,210.0,DR776635,690,0.0,117671.71,3300.0,EV_105,DR776635_1,35.0,4.06,33.95,399.8,0.0,0.0,90.59,0,84.51,32.08,1,SimuProA-5,D,45.0,4.08
