actual_max_capacity_Ah,avg_speed_kmh,vehicle_name,nominal_capacity_Ah,id,timestamp_s,regenerative_braking_Ah,mileage_km,motor_rpm,car_id,id_segment,accelerator_pedal_pct,min_single_volt_V,max_temp_C,volt_V,label,brake_pedal_pct,payload_kg,charger_connected,soc_pct,min_temp_C,hvac_active,car_model,gear_position,current_A,max_single_volt_V
176.27,32.0,EV_107,185.0,DR862144,660,0.0,78627.77,2000.0,EV_107,DR862144_13,70.0,4.0,61.88,327.1,0.0,0.0,41.55,0,85.04,57.04,1,SimuProB-2,D,165.0,4.05
176.27,38.0,EV_107,185.0,DR862144,670,0.0,78627.87,2300.0,EV_107,DR862144_13,72.0,3.99,61.91,326.4,0.0,0.0,41.55,0,85.02,57.05,1,SimuProB-2,D,172.0,4.05
176.27,43.0,EV_107,185.0,DR862144,680,0.0,78627.99,2600.0,EV_107,DR862144_14,74.0,3.99,61.93,325.5,0.0,0.0,41.55,0,85.0,57.06,1,SimuProB-2,D,178.0,4.04
176.27,48.0,EV_107,185.0,DR862144,690,0.0,78628.13,2900.0,EV_107,DR862144_14,76.0,3.99,61.95,324.8,0.0,0.0,41.55,0,84.98,57.07,1,SimuProB-2,D,182.0,4.04
176.27,53.0,EV_107,185.0,DR862144,700,0.0,78628.27,3100.0,EV_107,DR862144_14,78.0,3.98,61.97,324.0,0.0,0.0,41.55,0,84.96,57.08,1,SimuProB-2,D,186.0,4.03
176.27,58.0,EV_107,185.0,DR862144,710,0.0,78628.43,3300.0,EV_107,DR862144_14,80.0,3.98,61.99,323.2,0.0,0.0,41.55,0,84.94,57.09,1,SimuProB-2,D,190.0,4.03
176.27,63.0,EV_107,185.0,DR862144,720,0.0,78628.61,3500.0,EV_107,DR862144_14,82.0,3.98,62.01,322.5,0.0,0.0,41.55,0,84.92,57.1,1,SimuProB-2,D,195.0,4.03
176.27,68.0,EV_107,185.0,DR862144,730,0.0,78628.8,3700.0,EV_107,DR862144_14,84.0,3.97,62.03,321.8,0.0,0.0,41.55,0,84.89,57.11,1,SimuProB-2,D,200.0,4.02
176.27,73.0,EV_107,185.0,DR862144,740,0.0,78629.0,3900.0,EV_107,DR862144_14,86.0,3.97,62.05,321.0,0.0,0.0,41.55,0,84.86,57.12,1,SimuProB-2,D,205.0,4.02
176.27,78.0,EV_107,185.0,DR862144,750,0.0,78629.22,4100.0,EV_107,DR862144_14,88.0,3.97,62.07,320.3,0.0,0.0,41.55,0,84.83,57.13,1,SimuProB-2,D,210.0,4.02
176.27,83.0,EV_107,185.0,DR862144,760,0.0,78629.45,4300.0,EV_107,DR862144_14,90.0,3.96,62.09,319.5,0.0,0.0,41.55,0,84.79,57.14,1,SimuProB-2,D,215.0,4.01
176.27,88.0,EV_107,185.0,DR862144,770,0.0,78629.69,4500.0,EV_107,DR862144_14,92.0,3.96,62.11,318.8,0.0,0.0,41.55,0,84.75,57.15,1,SimuProB-2,D,220.0,4.01
176.27,93.0,EV_107,185.0,DR862144,780,0.0,78629.95,4700.0,EV_107,DR862144_14,94.0,3.96,62.13,318.1,0.0,0.0,41.55,0,84.71,57.16,1,SimuProB-2,D,225.0,4.01
176.27,98.0,EV_107,185.0,DR862144,790,0.0,78630.22,4900.0,EV_107,DR862144_14,95.0,3.96,62.15,317.5,0.0,0.0,41.55,0,84.67,57.17,1,SimuProB-2,D,228.0,4.01
176.27,102.0,EV_107,185.0,DR862144,800,0.0,78630.51,5100.0,EV_107,DR862144_14,95.0,3.96,62.17,317.0,0.0,0.0,41.55,0,84.63,57.18,1,SimuProB-2,D,230.0,4.01
176.27,106.0,EV_107,185.0,DR862144,810,0.0,78630.8,5300.0,EV_107,DR862144_14,95.0,3.96,62.19,316.2,0.0,0.0,41.55,0,84.58,57.19,1,SimuProB-2,D,232.0,4.01
176.27,110.0,EV_107,185.0,DR862144,820,0.0,78631.11,5500.0,EV_107,DR862144_14,95.0,3.95,62.21,315.5,0.0,0.0,41.55,0,84.53,57.2,1,SimuProB-2,D,235.0,4.01
176.27,114.0,EV_107,185.0,DR862144,830,0.0,78631.42,5700.0,EV_107,DR862144_14,95.0,3.95,62.23,314.8,0.0,0.0,41.55,0,84.48,57.21,1,SimuProB-2,D,238.0,4.01
