actual_max_capacity_Ah,avg_speed_kmh,vehicle_name,nominal_capacity_Ah,id,timestamp_s,regenerative_braking_Ah,mileage_km,motor_rpm,car_id,id_segment,accelerator_pedal_pct,min_single_volt_V,max_temp_C,volt_V,label,brake_pedal_pct,payload_kg,charger_connected,soc_pct,min_temp_C,hvac_active,car_model,gear_position,current_A,max_single_volt_V
176.27,0.0,EV_107,185.0,DR862144,990,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.092,44.07,391.1,0.0,67.0,41.55,0,94.58,40.09,1,SimuProB-2,D,2.4,4.113
176.27,0.0,EV_107,185.0,DR862144,1000,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.092,44.08,391.0,0.0,71.0,41.55,0,94.58,40.1,1,SimuProB-2,D,10.8,4.113
176.27,0.0,EV_107,185.0,DR862144,1010,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.09,390.5,0.0,69.0,41.55,0,94.58,40.11,1,SimuProB-2,D,11.5,4.112
176.27,0.0,EV_107,185.0,DR862144,1020,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.1,390.6,0.0,72.0,41.55,0,94.57,40.12,1,SimuProB-2,D,12.1,4.112
176.27,0.0,EV_107,185.0,DR862144,1030,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.11,390.4,0.0,70.0,41.55,0,94.57,40.13,1,SimuProB-2,D,11.8,4.112
176.27,0.0,EV_107,185.0,DR862144,1040,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.12,390.3,0.0,73.0,41.55,0,94.57,40.14,1,SimuProB-2,D,12.5,4.112
176.27,0.0,EV_107,185.0,DR862144,1050,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.13,390.2,0.0,70.0,41.55,0,94.57,40.15,1,SimuProB-2,D,11.9,4.111
176.27,0.0,EV_107,185.0,DR862144,1060,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.14,390.1,0.0,71.0,41.55,0,94.56,40.16,1,SimuProB-2,D,12.3,4.111
176.27,0.0,EV_107,185.0,DR862144,1070,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.15,390.0,0.0,72.0,41.55,0,94.56,40.17,1,SimuProB-2,D,12.0,4.111
176.27,0.0,EV_107,185.0,DR862144,1080,0.0,78518.36,0.0,EV_107,DR862144_3,0.0,4.091,44.16,389.9,0.0,74.0,41.55,0,94.56,40.18,1,SimuProB-2,D,12.1,4.111
