id,id_segment,volt_V,current_A,soc_pct,max_single_volt_V,min_single_volt_V,max_temp_C,min_temp_C,timestamp_s,avg_speed_kmh,hvac_active,payload_kg,regenerative_braking_Ah,motor_rpm,gear_position,accelerator_pedal_pct,brake_pedal_pct,charger_connected,label,car_id,car_model,mileage_km,actual_max_capacity_Ah,nominal_capacity_Ah
RC620279,RC620279_14,444.794,-1.0,94.45,4.45,4.44,65.0,65.0,640,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,445.0,-5.0,94.45,4.45,4.44,65.0,65.0,650,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,445.0,-0.4,94.46,4.45,4.44,65.0,65.0,660,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.879,0.1,94.46,4.45,4.44,65.0,65.0,670,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.556,-3.0,94.47,4.45,4.44,65.0,65.0,680,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,445.0,2.2,94.47,4.45,4.44,65.0,65.0,690,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.7,-5.2,94.47,4.45,4.44,65.0,65.0,700,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.688,-6.8,94.48,4.45,4.44,65.0,65.0,710,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.899,-2.4,94.49,4.45,4.44,65.0,65.0,720,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.431,-1.2,94.51,4.45,4.44,65.0,65.0,730,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.914,-6.3,94.53,4.45,4.44,65.0,65.0,740,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
RC620279,RC620279_14,444.874,-3.6,94.54,4.45,4.44,65.0,65.0,750,0.0,1,41.55,0.0,0.0,P,0.0,0.0,1,00,EV_107,SimuProB-2,78797.24,176.27,185.0
