id,id_segment,volt_V,current_A,soc_pct,max_single_volt_V,min_single_volt_V,max_temp_C,min_temp_C,timestamp_s,avg_speed_kmh,hvac_active,payload_kg,regenerative_braking_Ah,motor_rpm,gear_position,accelerator_pedal_pct,brake_pedal_pct,charger_connected,label,car_id,car_model,mileage_km,actual_max_capacity_Ah,nominal_capacity_Ah
RC561349,RC561349_2,398.752,-172.0,45.46,4.39,4.31,65.0,63.02,640,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,399.909,-169.4,45.62,4.4,4.32,65.0,63.1,650,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,399.689,-174.0,45.75,4.4,4.32,65.0,63.18,660,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,400.215,-172.1,45.9,4.41,4.33,65.0,63.25,670,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,400.729,-171.3,46.02,4.41,4.33,65.0,63.31,680,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,400.602,-165.4,46.17,4.42,4.34,65.0,63.38,690,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,400.918,-171.1,46.32,4.42,4.34,65.0,63.42,700,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.304,-166.5,46.46,4.42,4.34,65.0,63.48,710,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.462,-171.1,46.62,4.43,4.35,65.0,63.55,720,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.906,-168.6,46.77,4.43,4.35,65.0,63.6,730,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.561,-171.4,46.92,4.43,4.35,65.0,63.65,740,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.902,-169.6,47.07,4.43,4.35,65.0,63.7,750,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,401.822,-167.4,47.23,4.43,4.35,65.0,63.72,760,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.644,-162.6,47.4,4.44,4.36,65.0,63.75,770,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.571,-170.7,47.56,4.44,4.36,65.0,63.78,780,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.154,-168.2,47.73,4.44,4.36,65.0,63.81,790,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.06,-164.1,47.91,4.45,4.36,65.0,63.85,800,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.113,-165.0,48.08,4.45,4.37,65.0,63.88,810,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.988,-162.2,48.24,4.45,4.37,65.0,63.91,820,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.454,-165.7,48.43,4.45,4.37,65.0,63.94,830,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.843,-163.6,48.58,4.45,4.37,65.0,63.97,840,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.911,-165.5,48.76,4.45,4.37,65.0,64.0,850,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.868,-160.9,48.94,4.45,4.37,65.0,64.05,860,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,402.982,-165.0,49.09,4.45,4.37,65.0,64.09,870,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.008,-166.1,49.21,4.45,4.37,65.0,64.12,880,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.632,-168.3,49.37,4.45,4.37,65.0,64.16,890,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.293,-161.8,49.52,4.45,4.37,65.0,64.21,900,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.827,-162.1,49.67,4.45,4.37,65.0,64.24,910,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,403.768,-163.4,49.83,4.45,4.38,65.0,64.28,920,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,404.187,-162.6,49.99,4.45,4.38,65.0,64.32,930,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,404.068,-163.5,50.14,4.45,4.38,65.0,64.35,940,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,404.697,-161.1,50.32,4.45,4.38,65.0,64.38,950,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
RC561349,RC561349_2,404.867,-161.9,50.46,4.45,4.39,65.0,64.41,960,0.0,1,23.89,0.0,0.0,P,0.0,0.0,1,00,EV_106,SimuProB-1,168101.0,165.67,185.0
