car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgb_chg,pred_xgb_drv,pred_weighted_avg,pred_pytorch_ann,final_ensemble_pred,error
501,11329.134,Ensemble (ANN & WAvg computed),112.4597,115.60481262207031,115.17060852050781,115.17060852050781,106.29772186279297,106.29772186279297,-6.161978137207029
502,57358.744,Ensemble (ANN & WAvg computed),151.469,108.32499694824219,106.73727416992188,106.73727416992188,75.27058410644531,75.27058410644531,-76.19841589355468
503,68715.76,XGB (Driving Only),104.3156,-1.0,115.35200500488281,-1.0,-1.0,115.35200500488281,11.036407470703125
504,124198.932,Ensemble (ANN & WAvg computed),42.4286,92.98873901367188,99.08944702148438,99.08944702148438,79.19944763183594,79.19944763183594,36.770847631835935
505,99891.359,Ensemble (ANN & WAvg computed),56.6316,103.00559997558594,99.58756256103516,99.58756256103516,64.28421020507812,64.28421020507812,7.652610205078126
506,21396.914,Ensemble (ANN & WAvg computed),111.7936,102.12493896484375,103.84647369384766,103.84647369384766,72.66504669189453,72.66504669189453,-39.12855330810547
507,60366.666,Ensemble (ANN & WAvg computed),106.6552,110.00335693359375,106.15577697753906,106.15577697753906,77.20221710205078,77.20221710205078,-29.452982897949212
508,103400.961,Ensemble (ANN & WAvg computed),38.993,103.42997741699219,100.32147979736328,100.32147979736328,64.65966796875,64.65966796875,25.666667968749998
509,39219.889,Ensemble (ANN & WAvg computed),136.2397,110.52304077148438,111.52719116210938,111.52719116210938,91.13739776611328,91.13739776611328,-45.10230223388672
510,110981.494,Ensemble (ANN & WAvg computed),101.7633,95.88273620605469,104.43999481201172,104.43999481201172,90.23543548583984,90.23543548583984,-11.527864514160157
