car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgb_chg,pred_xgb_drv,pred_weighted_avg,pred_pytorch_ann,final_ensemble_pred,error
501,11329.134,Weighted Avg (C:0.00|D:1.00),112.4597,114.81105041503906,118.03257751464844,118.03257751464844,-1.0,118.03257751464844,5.5728775146484395
502,57358.744,Weighted Avg (C:0.00|D:1.00),151.469,112.4494400024414,107.38605499267578,107.38605499267578,-1.0,107.38605499267578,-44.08294500732421
503,68715.76,XGB (Driving Only),104.3156,-1.0,103.74522399902344,-1.0,-1.0,103.74522399902344,-0.57037353515625
504,124198.932,Weighted Avg (C:0.00|D:1.00),42.4286,76.20228576660156,87.08729553222656,87.08729553222656,-1.0,87.08729553222656,44.65869553222656
505,99891.359,Weighted Avg (C:0.00|D:1.00),56.6316,90.42222595214844,86.81643676757812,86.81643676757812,-1.0,86.81643676757812,30.184836767578126
506,21396.914,Weighted Avg (C:0.00|D:1.00),111.7936,99.35037994384766,99.62639617919922,99.62639617919922,-1.0,99.62639617919922,-12.16720382080078
507,60366.666,Weighted Avg (C:0.00|D:1.00),106.6552,106.95659637451172,111.57638549804688,111.57638549804688,-1.0,111.57638549804688,4.921185498046881
508,103400.961,Weighted Avg (C:0.00|D:1.00),38.993,95.59197998046875,84.6649398803711,84.6649398803711,-1.0,84.6649398803711,45.67193988037109
509,39219.889,Weighted Avg (C:0.00|D:1.00),136.2397,103.49069213867188,114.34024047851562,114.34024047851562,-1.0,114.34024047851562,-21.899459521484374
510,110981.494,Weighted Avg (C:0.00|D:1.00),101.7633,85.01255798339844,91.00154113769531,91.00154113769531,-1.0,91.00154113769531,-10.761758862304688
