car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_svm_drv,final_ensemble_pred,error
501,11329.134,Ensemble (Simple Avg),112.4597,90.67404174804688,104.40911381126514,97.54157777965601,-14.918122220343989
502,57358.744,Ensemble (Simple Avg),151.469,122.35514068603516,103.17577731234142,112.7654589991883,-38.7035410008117
503,68715.76,SVM (Driving Only),104.3156,-1.0,101.88241810889207,101.88241810889207,-2.4331818911079353
504,124198.932,Ensemble (Simple Avg),42.4286,98.4249038696289,100.4415047957498,99.43320433268934,57.00460433268934
505,99891.359,Ensemble (Simple Avg),56.6316,90.0986328125,100.35581749877838,95.22722515563919,38.59562515563919
506,21396.914,Ensemble (Simple Avg),111.7936,124.38835144042969,102.50385318666031,113.446102313545,1.6525023135449999
507,60366.666,Ensemble (Simple Avg),106.6552,93.87249755859375,103.69604430655174,98.78427093257275,-7.870929067427241
508,103400.961,Ensemble (Simple Avg),38.993,109.7894287109375,100.84315254394815,105.31629062744283,66.32329062744282
509,39219.889,Ensemble (Simple Avg),136.2397,73.68193054199219,103.5974192768154,88.6396749094038,-47.600025090596205
510,110981.494,Ensemble (Simple Avg),101.7633,74.36685943603516,100.34779427352149,87.35732685477832,-14.40597314522168
