car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_xgboost_drv,final_ensemble_pred,error
501,11329.134,Ensemble (PyTorch ANN),112.4597,114.81158447265625,118.03093719482422,680.6989135742188,568.2392135742188
502,57358.744,Ensemble (PyTorch ANN),151.469,112.45001220703125,107.38639831542969,443.7005615234375,292.2315615234375
503,68715.76,XGB (Driving Only),104.3156,-1.0,103.74632263183594,103.74632263183594,-0.56927490234375
504,124198.932,Ensemble (PyTorch ANN),42.4286,76.20126342773438,87.08709716796875,187.9240264892578,145.4954264892578
505,99891.359,Ensemble (PyTorch ANN),56.6316,90.42216491699219,86.81807708740234,647.0440673828125,590.4124673828125
506,21396.914,Ensemble (PyTorch ANN),111.7936,99.35029602050781,99.62615203857422,269.93902587890625,158.14542587890625
507,60366.666,Ensemble (PyTorch ANN),106.6552,106.95724487304688,111.5771484375,523.2073364257812,416.55213642578127
508,103400.961,Ensemble (PyTorch ANN),38.993,95.59193420410156,84.66580963134766,949.9183959960938,910.9253959960937
509,39219.889,Ensemble (PyTorch ANN),136.2397,103.4913558959961,114.33914947509766,655.5787963867188,519.3390963867188
510,110981.494,Ensemble (PyTorch ANN),101.7633,85.01185607910156,91.00157928466797,198.0765380859375,96.3132380859375
