car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_xgboost_drv,final_ensemble_pred,error
501,11329.134,Ensemble (PyTorch ANN),112.4597,115.60481262207031,115.17060852050781,106.2977294921875,-6.161970507812498
502,57358.744,Ensemble (PyTorch ANN),151.469,108.32501220703125,106.73725891113281,75.27057647705078,-76.19842352294921
503,68715.76,XGB (Driving Only),104.3156,-1.0,115.35198974609375,115.35198974609375,11.036392211914062
504,124198.932,Ensemble (PyTorch ANN),42.4286,92.9887466430664,99.08943176269531,79.1993637084961,36.77076370849609
505,99891.359,Ensemble (PyTorch ANN),56.6316,103.00559997558594,99.58755493164062,64.2841796875,7.652579687500001
506,21396.914,Ensemble (PyTorch ANN),111.7936,102.12494659423828,103.84646606445312,72.66497802734375,-39.12862197265625
507,60366.666,Ensemble (PyTorch ANN),106.6552,110.00336456298828,106.15576171875,77.20219421386719,-29.453005786132806
508,103400.961,Ensemble (PyTorch ANN),38.993,103.42997741699219,100.32145690917969,64.65959930419922,25.666599304199217
509,39219.889,Ensemble (PyTorch ANN),136.2397,110.52304077148438,111.52719116210938,91.13738250732422,-45.10231749267578
510,110981.494,Ensemble (PyTorch ANN),101.7633,95.88274383544922,104.43999481201172,90.23542022705078,-11.52787977294922
