car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_xgboost_drv,final_ensemble_pred,error
501,11329.134,Ensemble (PyTorch ANN),112.4597,115.60481262207031,115.17060852050781,1.5959603786468506,-110.86373962135315
502,57358.744,Ensemble (PyTorch ANN),151.469,108.32501220703125,106.73726654052734,1.0004020929336548,-150.46859790706634
503,68715.76,XGB (Driving Only),104.3156,-1.0,115.35198974609375,115.35198974609375,11.036392211914062
504,124198.932,Ensemble (PyTorch ANN),42.4286,92.9887466430664,99.08943176269531,1.1014187335968018,-41.3271812664032
505,99891.359,Ensemble (PyTorch ANN),56.6316,103.00559997558594,99.58755493164062,0.9863877892494202,-55.64521221075058
506,21396.914,Ensemble (PyTorch ANN),111.7936,102.12494659423828,103.84646606445312,0.8373463749885559,-110.95625362501144
507,60366.666,Ensemble (PyTorch ANN),106.6552,110.00336456298828,106.15576934814453,1.0669783353805542,-105.58822166461944
508,103400.961,Ensemble (PyTorch ANN),38.993,103.42997741699219,100.32147216796875,0.9410194754600525,-38.05198052453995
509,39219.889,Ensemble (PyTorch ANN),136.2397,110.52304077148438,111.52719116210938,1.2307755947113037,-135.0089244052887
510,110981.494,Ensemble (PyTorch ANN),101.7633,95.88274383544922,104.43998718261719,0.8230094313621521,-100.94029056863785
