car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_xgboost_drv,final_ensemble_pred,error
501,11329.134,Ensemble (PyTorch ANN),112.4597,115.60481262207031,115.17059326171875,-0.09137372672557831,-112.55107372672558
502,57358.744,Ensemble (PyTorch ANN),151.469,108.32501220703125,106.73725891113281,-0.08909238874912262,-151.55809238874912
503,68715.76,XGB (Driving Only),104.3156,-1.0,115.35198974609375,115.35198974609375,11.036392211914062
504,124198.932,Ensemble (PyTorch ANN),42.4286,92.9887466430664,99.08943176269531,-0.009561702609062195,-42.438161702609065
505,99891.359,Ensemble (PyTorch ANN),56.6316,103.00559997558594,99.58755493164062,-0.02473338693380356,-56.6563333869338
506,21396.914,Ensemble (PyTorch ANN),111.7936,102.12494659423828,103.84646606445312,-0.043920762836933136,-111.83752076283693
507,60366.666,Ensemble (PyTorch ANN),106.6552,110.00336456298828,106.15576171875,-0.10095681250095367,-106.75615681250095
508,103400.961,Ensemble (PyTorch ANN),38.993,103.42997741699219,100.32147216796875,-0.033493682742118835,-39.02649368274212
509,39219.889,Ensemble (PyTorch ANN),136.2397,110.52304077148438,111.52717590332031,-0.057360678911209106,-136.2970606789112
510,110981.494,Ensemble (PyTorch ANN),101.7633,95.88274383544922,104.43998718261719,-0.06763891875743866,-101.83093891875744
