car,charge_segment,mileage,gt_capacity,pred_capacity,error
EV_001,233.0,20556.26,32.560001373291016,34.533329010009766,1.97332763671875
EV_001,234.0,20556.26,32.560001373291016,34.75918197631836,2.1991806030273438
EV_001,235.0,20556.26,32.560001373291016,34.849369049072266,2.28936767578125
EV_001,238.0,20556.26,32.560001373291016,34.519981384277344,1.9599800109863281
EV_001,239.0,20556.26,32.560001373291016,34.468650817871094,1.9086494445800781
EV_001,240.0,20556.26,32.560001373291016,34.6502799987793,2.0902786254882812
EV_001,244.0,20556.26,32.560001373291016,34.21295166015625,1.6529502868652344
EV_001,245.0,20556.26,32.560001373291016,34.21295166015625,1.6529502868652344
EV_001,246.0,20556.26,32.560001373291016,34.51388931274414,1.953887939453125
EV_001,248.0,20556.26,32.560001373291016,33.20553970336914,0.645538330078125
EV_001,250.0,20556.26,32.560001373291016,34.15248107910156,1.5924797058105469
EV_001,251.0,20556.26,32.560001373291016,33.50321960449219,0.9432182312011719
EV_001,252.0,20556.26,32.560001373291016,33.06772232055664,0.507720947265625
EV_001,253.0,20556.26,32.560001373291016,32.899234771728516,0.3392333984375
EV_001,256.0,20556.26,32.560001373291016,32.92192840576172,0.3619270324707031
EV_001,257.0,20556.26,32.560001373291016,32.98809051513672,0.4280891418457031
EV_001,258.0,20556.26,32.560001373291016,32.76961898803711,0.20961761474609375
EV_001,259.0,20556.26,32.560001373291016,32.97150802612305,0.41150665283203125
EV_001,260.0,20556.26,32.560001373291016,32.84416961669922,0.2841682434082031
EV_001,261.0,20556.26,32.560001373291016,33.11249542236328,0.5524940490722656
EV_001,263.0,20556.26,32.560001373291016,34.050392150878906,1.4903907775878906
EV_001,264.0,20556.26,32.560001373291016,33.84430694580078,1.2843055725097656
EV_001,266.0,20556.26,32.560001373291016,34.49699020385742,1.9369888305664062
EV_001,267.0,20556.26,32.560001373291016,34.76755142211914,2.207550048828125
EV_001,268.0,20556.26,32.560001373291016,34.74431610107422,2.184314727783203
EV_001,276.0,20556.26,32.560001373291016,34.688053131103516,2.1280517578125
EV_001,278.0,20556.26,32.560001373291016,34.136634826660156,1.5766334533691406
EV_001,279.0,20556.26,32.560001373291016,33.61408615112305,1.0540847778320312
EV_001,280.0,20556.26,32.560001373291016,33.9253044128418,1.3653030395507812
EV_001,281.0,20556.26,32.560001373291016,33.626556396484375,1.0665550231933594
EV_001,282.0,20556.26,32.560001373291016,32.7471809387207,0.1871795654296875
EV_001,283.0,20556.26,32.560001373291016,32.60074234008789,0.040740966796875
EV_001,284.0,20556.26,32.560001373291016,32.707698822021484,0.14769744873046875
EV_001,287.0,20556.26,32.560001373291016,34.20819854736328,1.6481971740722656
EV_001,290.0,20556.26,32.560001373291016,35.09830856323242,2.5383071899414062
EV_001,291.0,20556.26,32.560001373291016,34.299434661865234,1.7394332885742188
EV_001,293.0,20556.26,32.560001373291016,34.486454010009766,1.92645263671875
EV_001,295.0,20556.26,32.560001373291016,34.37574768066406,1.8157463073730469
EV_001,296.0,20556.26,32.560001373291016,33.58694076538086,1.0269393920898438
EV_001,297.0,20556.26,32.560001373291016,33.238399505615234,0.6783981323242188
EV_001,298.0,20556.26,32.560001373291016,32.725013732910156,0.16501235961914062
EV_001,300.0,20556.26,32.560001373291016,33.30244064331055,0.7424392700195312
EV_001,301.0,20556.26,32.560001373291016,32.90914535522461,0.34914398193359375
EV_001,302.0,20556.26,32.560001373291016,33.45121765136719,0.8912162780761719
EV_001,303.0,20556.26,32.560001373291016,33.47684097290039,0.916839599609375
EV_001,304.0,20556.26,32.560001373291016,34.87363052368164,2.313629150390625
EV_001,305.0,20556.26,32.560001373291016,33.861671447753906,1.3016700744628906
EV_001,306.0,20556.26,32.560001373291016,34.29961395263672,1.7396125793457031
EV_001,311.0,20556.26,32.560001373291016,33.025508880615234,0.46550750732421875
EV_001,307.0,20556.26,32.560001373291016,32.57621383666992,0.01621246337890625
EV_001,308.0,20556.26,32.560001373291016,32.55071258544922,-0.009288787841796875
EV_001,312.0,20556.26,32.560001373291016,32.41435623168945,-0.1456451416015625
EV_001,313.0,20556.26,32.560001373291016,33.527889251708984,0.9678878784179688
EV_001,309.0,20556.26,32.560001373291016,32.710941314697266,0.15093994140625
EV_001,310.0,20556.26,32.560001373291016,32.75040817260742,0.19040679931640625
EV_001,315.0,20556.26,32.560001373291016,32.436038970947266,-0.12396240234375
EV_001,311.0,20556.26,32.560001373291016,32.70880889892578,0.14880752563476562
EV_001,312.0,20556.26,32.560001373291016,33.00859832763672,0.4485969543457031
EV_001,314.0,20556.26,32.560001373291016,32.88019943237305,0.32019805908203125
