car_id,max_mileage_km,prediction_method,gt_capacity,pred_xgboost_chg,pred_xgboost_drv,final_ensemble_pred,error
501,11329.134,Ensemble (PyTorch ANN),112.4597,115.60481262207031,115.17060089111328,106.29772186279297,-6.161978137207029
502,57358.744,Ensemble (PyTorch ANN),151.469,108.32501220703125,106.73725891113281,75.2706527709961,-76.1983472290039
503,68715.76,XGB (Driving Only),104.3156,-1.0,115.35198974609375,115.35198974609375,11.036392211914062
504,124198.932,Ensemble (PyTorch ANN),42.4286,92.9887466430664,99.08943176269531,79.19939422607422,36.770794226074216
505,99891.359,Ensemble (PyTorch ANN),56.6316,103.00559997558594,99.58755493164062,64.28428649902344,7.652686499023439
506,21396.914,Ensemble (PyTorch ANN),111.7936,102.12494659423828,103.84646606445312,72.66503143310547,-39.12856856689453
507,60366.666,Ensemble (PyTorch ANN),106.6552,110.00336456298828,106.15576171875,77.20228576660156,-29.45291423339843
508,103400.961,Ensemble (PyTorch ANN),38.993,103.42997741699219,100.32146453857422,64.65972900390625,25.666729003906248
509,39219.889,Ensemble (PyTorch ANN),136.2397,110.52304077148438,111.52719116210938,91.13741302490234,-45.102286975097655
510,110981.494,Ensemble (PyTorch ANN),101.7633,95.88274383544922,104.43999481201172,90.23538970947266,-11.527910290527345
